"PUMA","age.out","table.code","allo"
"5101","[85,Inf)","RET_E",NA
"5101","[85,Inf)","RET_N",NA
"5101","[55,60)","RET_O",NA
"5101","[85,Inf)","RET_O",NA
"5102","[85,Inf)","RET_P",NA
"5103","[85,Inf)","RET_E",NA
"5103","[85,Inf)","RET_H",NA
"5103","[85,Inf)","RET_N",NA
"5103","[55,60)","RET_O",NA
"5103","[85,Inf)","RET_O",NA
"5103","[85,Inf)","RET_P",NA
"5105","[85,Inf)","RET_E",NA
"5105","[85,Inf)","RET_H",NA
"5105","[85,Inf)","RET_N",NA
"5105","[0,18)","RET_O",NA
"5105","[85,Inf)","RET_O",NA
"5105","[55,60)","RET_P",NA
"5105","[85,Inf)","RET_P",NA
"5114","[60,85)","RET_O",NA
"5114","[85,Inf)","RET_O",NA
"5114","[55,60)","RET_P",NA
"5114","[85,Inf)","RET_P",NA
"5116","[85,Inf)","RET_N",NA
"5116","[85,Inf)","RET_O",NA
"5116","[85,Inf)","RET_P",NA
