"PUMA","langd","age"
"5101","german.west.germanic","[85,Inf)"
"5101","korean","[85,Inf)"
"5101","spanish","[85,Inf)"
"5101","arabic","[0,18)"
"5101","arabic","[55,60)"
"5101","arabic","[85,Inf)"
"5101","russian.polish.slavic","[0,18)"
"5101","russian.polish.slavic","[85,Inf)"
"5102","arabic","[85,Inf)"
"5102","korean","[85,Inf)"
"5103","arabic","[85,Inf)"
"5103","french.haitian.cajun","[85,Inf)"
"5103","german.west.germanic","[85,Inf)"
"5103","tagalog","[85,Inf)"
"5105","arabic","[55,60)"
"5105","russian.polish.slavic","[85,Inf)"
"5105","korean","[0,18)"
"5105","korean","[55,60)"
"5105","korean","[85,Inf)"
"5105","tagalog","[0,18)"
"5105","tagalog","[85,Inf)"
"5114","arabic","[55,60)"
"5114","arabic","[85,Inf)"
"5114","tagalog","[55,60)"
"5114","tagalog","[85,Inf)"
"5114","vietnamese","[85,Inf)"
"5116","korean","[0,18)"
"5116","korean","[85,Inf)"
