"PUMA","langd","prof","age.out"
"5101","arabic","prof1","[0,18)"
"5101","arabic","prof1","[55,60)"
"5101","arabic","prof1","[85,Inf)"
"5101","arabic","prof2","[0,18)"
"5101","arabic","prof2","[55,60)"
"5101","arabic","prof2","[60,85)"
"5101","arabic","prof2","[85,Inf)"
"5101","asian.other","prof1","[85,Inf)"
"5101","asian.other","prof2","[85,Inf)"
"5101","chinese","prof1","[85,Inf)"
"5101","french.haitian.cajun","prof2","[0,18)"
"5101","french.haitian.cajun","prof2","[55,60)"
"5101","french.haitian.cajun","prof2","[85,Inf)"
"5101","german.west.germanic","prof1","[85,Inf)"
"5101","german.west.germanic","prof2","[18,55)"
"5101","german.west.germanic","prof2","[55,60)"
"5101","german.west.germanic","prof2","[85,Inf)"
"5101","indo-european.other","prof2","[85,Inf)"
"5101","korean","prof1","[60,85)"
"5101","korean","prof1","[85,Inf)"
"5101","korean","prof2","[85,Inf)"
"5101","lang.other","prof1","[85,Inf)"
"5101","lang.other","prof2","[85,Inf)"
"5101","russian.polish.slavic","prof1","[0,18)"
"5101","russian.polish.slavic","prof1","[55,60)"
"5101","russian.polish.slavic","prof1","[85,Inf)"
"5101","russian.polish.slavic","prof2","[0,18)"
"5101","russian.polish.slavic","prof2","[85,Inf)"
"5101","spanish","prof1","[85,Inf)"
"5101","spanish","prof2","[85,Inf)"
"5101","tagalog","prof1","[85,Inf)"
"5101","tagalog","prof2","[0,18)"
"5101","tagalog","prof2","[55,60)"
"5101","vietnamese","prof1","[85,Inf)"
"5102","arabic","prof1","[55,60)"
"5102","arabic","prof1","[60,85)"
"5102","arabic","prof1","[85,Inf)"
"5102","arabic","prof2","[85,Inf)"
"5102","french.haitian.cajun","prof2","[0,18)"
"5102","french.haitian.cajun","prof2","[55,60)"
"5102","french.haitian.cajun","prof2","[85,Inf)"
"5102","german.west.germanic","prof2","[0,18)"
"5102","german.west.germanic","prof2","[55,60)"
"5102","german.west.germanic","prof2","[85,Inf)"
"5102","korean","prof1","[85,Inf)"
"5102","korean","prof2","[0,18)"
"5102","korean","prof2","[85,Inf)"
"5102","lang.other","prof1","[85,Inf)"
"5102","lang.other","prof2","[85,Inf)"
"5102","spanish","prof1","[85,Inf)"
"5102","tagalog","prof1","[85,Inf)"
"5102","vietnamese","prof1","[55,60)"
"5103","arabic","prof1","[85,Inf)"
"5103","arabic","prof2","[85,Inf)"
"5103","asian.other","prof1","[85,Inf)"
"5103","chinese","prof1","[85,Inf)"
"5103","french.haitian.cajun","prof1","[85,Inf)"
"5103","french.haitian.cajun","prof2","[55,60)"
"5103","french.haitian.cajun","prof2","[85,Inf)"
"5103","german.west.germanic","prof1","[85,Inf)"
"5103","german.west.germanic","prof2","[18,55)"
"5103","german.west.germanic","prof2","[55,60)"
"5103","german.west.germanic","prof2","[60,85)"
"5103","german.west.germanic","prof2","[85,Inf)"
"5103","korean","prof1","[0,18)"
"5103","korean","prof1","[55,60)"
"5103","korean","prof1","[60,85)"
"5103","korean","prof1","[85,Inf)"
"5103","lang.other","prof1","[85,Inf)"
"5103","lang.other","prof2","[85,Inf)"
"5103","spanish","prof1","[85,Inf)"
"5103","tagalog","prof1","[85,Inf)"
"5103","tagalog","prof2","[85,Inf)"
"5103","vietnamese","prof1","[85,Inf)"
"5105","arabic","prof1","[55,60)"
"5105","arabic","prof1","[85,Inf)"
"5105","arabic","prof2","[0,18)"
"5105","arabic","prof2","[55,60)"
"5105","arabic","prof2","[60,85)"
"5105","asian.other","prof1","[85,Inf)"
"5105","asian.other","prof2","[85,Inf)"
"5105","chinese","prof1","[85,Inf)"
"5105","french.haitian.cajun","prof1","[85,Inf)"
"5105","french.haitian.cajun","prof2","[55,60)"
"5105","german.west.germanic","prof2","[0,18)"
"5105","german.west.germanic","prof2","[55,60)"
"5105","german.west.germanic","prof2","[85,Inf)"
"5105","korean","prof1","[0,18)"
"5105","korean","prof1","[55,60)"
"5105","korean","prof1","[85,Inf)"
"5105","korean","prof2","[0,18)"
"5105","korean","prof2","[55,60)"
"5105","korean","prof2","[85,Inf)"
"5105","lang.other","prof1","[85,Inf)"
"5105","lang.other","prof2","[55,60)"
"5105","lang.other","prof2","[85,Inf)"
"5105","russian.polish.slavic","prof1","[85,Inf)"
"5105","russian.polish.slavic","prof2","[85,Inf)"
"5105","spanish","prof2","[85,Inf)"
"5105","tagalog","prof1","[0,18)"
"5105","tagalog","prof1","[85,Inf)"
"5105","tagalog","prof2","[0,18)"
"5105","tagalog","prof2","[85,Inf)"
"5114","arabic","prof1","[55,60)"
"5114","arabic","prof1","[85,Inf)"
"5114","arabic","prof2","[55,60)"
"5114","arabic","prof2","[85,Inf)"
"5114","french.haitian.cajun","prof2","[85,Inf)"
"5114","german.west.germanic","prof2","[0,18)"
"5114","german.west.germanic","prof2","[55,60)"
"5114","german.west.germanic","prof2","[85,Inf)"
"5114","korean","prof1","[85,Inf)"
"5114","korean","prof2","[55,60)"
"5114","lang.other","prof1","[85,Inf)"
"5114","tagalog","prof1","[55,60)"
"5114","tagalog","prof1","[85,Inf)"
"5114","tagalog","prof2","[0,18)"
"5114","tagalog","prof2","[55,60)"
"5114","tagalog","prof2","[85,Inf)"
"5114","vietnamese","prof1","[85,Inf)"
"5114","vietnamese","prof2","[0,18)"
"5114","vietnamese","prof2","[55,60)"
"5114","vietnamese","prof2","[85,Inf)"
"5116","arabic","prof1","[85,Inf)"
"5116","chinese","prof1","[85,Inf)"
"5116","chinese","prof2","[55,60)"
"5116","french.haitian.cajun","prof2","[55,60)"
"5116","german.west.germanic","prof2","[0,18)"
"5116","german.west.germanic","prof2","[55,60)"
"5116","german.west.germanic","prof2","[85,Inf)"
"5116","korean","prof1","[0,18)"
"5116","korean","prof1","[55,60)"
"5116","korean","prof1","[85,Inf)"
"5116","korean","prof2","[0,18)"
"5116","korean","prof2","[18,55)"
"5116","korean","prof2","[85,Inf)"
"5116","lang.other","prof2","[85,Inf)"
"5116","spanish","prof2","[85,Inf)"
"5116","vietnamese","prof1","[85,Inf)"
