"STATE","COUNTY","PUMA","time","megapuma"
41,1,5901,2020,"central.northeast"
41,3,301,2020,"lane.benton"
41,5,504,2020,"clackamas"
41,5,501,2020,"clackamas"
41,5,502,2020,"clackamas"
41,5,503,2020,"clackamas"
41,7,9000,2020,"northwest"
41,9,9000,2020,"northwest"
41,11,9100,2020,"southwest"
41,13,1702,2020,"central.northeast"
41,15,9100,2020,"southwest"
41,17,1702,2020,"central.northeast"
41,17,1701,2020,"central.northeast"
41,19,1900,2020,"douglas"
41,21,6501,2020,"central.northeast"
41,23,6501,2020,"central.northeast"
41,25,9200,2020,"south.southeast"
41,27,6501,2020,"central.northeast"
41,29,2901,2020,"jackson"
41,29,2902,2020,"jackson"
41,31,1702,2020,"central.northeast"
41,33,9100,2020,"southwest"
41,35,9200,2020,"south.southeast"
41,37,9200,2020,"south.southeast"
41,39,3905,2020,"lane"
41,39,3904,2020,"lane"
41,39,3903,2020,"lane"
41,41,9300,2020,"northwest"
41,43,4301,2020,"lane.benton"
41,43,301,2020,"lane.benton"
41,45,9200,2020,"south.southeast"
41,47,4704,2020,"marion"
41,47,4703,2020,"marion"
41,47,4705,2020,"marion"
41,49,6501,2020,"central.northeast"
41,51,5103,2020,"multnomah"
41,51,5105,2020,"multnomah"
41,51,5102,2020,"multnomah"
41,51,5101,2020,"multnomah"
41,51,5114,2020,"multnomah"
41,51,5116,2020,"multnomah"
41,53,9300,2020,"northwest"
41,55,6501,2020,"central.northeast"
41,57,9000,2020,"northwest"
41,59,5901,2020,"central.northeast"
41,59,6501,2020,"central.northeast"
41,61,5901,2020,"central.northeast"
41,63,5901,2020,"central.northeast"
41,65,6501,2020,"central.northeast"
41,67,6724,2020,"washington"
41,67,6720,2020,"washington"
41,67,6721,2020,"washington"
41,67,6723,2020,"washington"
41,67,6722,2020,"washington"
41,69,6501,2020,"central.northeast"
41,71,7100,2020,"northwest"
53,11,21101,2020,"clark.wa"
53,11,21104,2020,"clark.wa"
53,11,21102,2020,"clark.wa"
53,11,21103,2020,"clark.wa"
41,1,100,2010,"central.northeast"
41,3,600,2010,"lane.benton"
41,5,1317,2010,"clackamas"
41,5,1318,2010,"clackamas"
41,5,1319,2010,"clackamas"
41,7,500,2010,"northwest"
41,9,500,2010,"northwest"
41,11,800,2010,"southwest"
41,13,200,2010,"central.northeast"
41,15,800,2010,"southwest"
41,17,400,2010,"central.northeast"
41,19,1000,2010,"douglas"
41,21,200,2010,"central.northeast"
41,23,200,2010,"central.northeast"
41,25,300,2010,"south.southeast"
41,27,200,2010,"central.northeast"
41,29,901,2010,"jackson"
41,29,902,2010,"jackson"
41,31,200,2010,"central.northeast"
41,33,800,2010,"southwest"
41,35,300,2010,"south.southeast"
41,37,300,2010,"south.southeast"
41,39,703,2010,"lane"
41,39,704,2010,"lane"
41,39,705,2010,"lane"
41,41,500,2010,"northwest"
41,43,600,2010,"lane.benton"
41,45,300,2010,"south.southeast"
41,47,1103,2010,"marion"
41,47,1104,2010,"marion"
41,47,1105,2010,"marion"
41,49,200,2010,"central.northeast"
41,51,1301,2010,"multnomah"
41,51,1302,2010,"multnomah"
41,51,1303,2010,"multnomah"
41,51,1305,2010,"multnomah"
41,51,1314,2010,"multnomah"
41,51,1316,2010,"multnomah"
41,53,1200,2010,"northwest"
41,55,200,2010,"central.northeast"
41,57,500,2010,"northwest"
41,59,100,2010,"central.northeast"
41,61,100,2010,"central.northeast"
41,63,100,2010,"central.northeast"
41,65,200,2010,"central.northeast"
41,67,1320,2010,"washington"
41,67,1321,2010,"washington"
41,67,1322,2010,"washington"
41,67,1323,2010,"washington"
41,67,1324,2010,"washington"
41,69,200,2010,"central.northeast"
41,71,1200,2010,"northwest"
53,11,11101,2010,"clark.wa"
53,11,11102,2010,"clark.wa"
53,11,11103,2010,"clark.wa"
53,11,11104,2010,"clark.wa"
