"re","estimate"
"TOTAL",4238714
"AIANInd",132197
"AIANAlask",1596
"AIANCan",2001
"AIANLat",10002
"AsnAfghan",1704
"AsnInd",36874
"AsnCambod",3593
"AsnChinese",63393
"AsnMyan",2818
"AsnFilipino",47138
"AsnHmong",3732
"AsnIndones",2447
"AsnJapanese",34801
"AsnKorean",23915
"AsnLao",5512
"AsnPakistani",1707
"AsnSouth",9930
"AsnTaiwanese",7051
"AsnThai",6442
"AsnViet",36832
"AsnOther",18905
"AfrAm",118404
"AfrCarib",1870
"AfrEthiopian",4352
"AfrHaitian",1267
"AfrJamaican",2912
"AfrNigerian",2599
"AfrSomali",3128
"AfrOther",10217
"LatAfr",6533
"LatCen",11809
"LatCub",10068
"LatDom",2171
"LatGuat",15492
"LatMex",491221
"LatPR",17608
"LatSalv",11140
"LatSou",25782
"LatOther",42595
"MENAEgypt",2236
"MENAIraq",2179
"MENAIran",6976
"MENAIsr",2029
"MENALeban",5232
"MENAPalest",1100
"MENASyr",2556
"MENATurkish",2244
"MENAOther",8568
"NHPICham",3166
"NHPIMarshall",1619
"NHPICOFA",2699
"NHPISamoan",2946
"NHPIHawaii",12521
"NHPIFijian",2027
"NHPITongan",629
"NHPIOther",46915
"WhtEng",609269
"WhtGer",706561
"WhtIre",509026
"WhtItal",151814
"WhtPol",67643
"WhtRom",70676
"WhtRus",38307
"WhtSco",167772
"WhtSlav",42078
"WhtUkr",23520
"WhtOther",1933485
"OtherUnspec",17965
